"location id","location name",description,lat,lon,icon_color,"icon name"
31464924,Hydrant,Hydrant,34.81609643,-90.00926585,red,Hydrant
31464925,Hydrant,Hydrant,34.81612643,-90.00681585,red,Hydrant
31464926,Hydrant,Hydrant,34.81562643,-90.00631585,red,Hydrant
31464927,Hydrant,Hydrant,34.81615643,-90.00525585,red,Hydrant
31464928,Hydrant,Hydrant,34.81616643,-90.00529585,red,Hydrant
31464929,Hydrant,Hydrant,34.81628643,-90.00392585,red,Hydrant
31464930,Hydrant,Hydrant,34.81601643,-90.00093585,red,Hydrant
31464931,Hydrant,Hydrant,34.82257643,-89.99402585,red,Hydrant
31464932,Hydrant,Hydrant,34.82171643,-89.99397585,red,Hydrant
31464933,Hydrant,Hydrant,34.82161643,-89.99426585,red,Hydrant
31464934,Hydrant,Hydrant,34.82102643,-89.99424585,red,Hydrant
31464935,Hydrant,Hydrant,34.81606643,-89.99391585,red,Hydrant
31464936,Hydrant,Hydrant,34.81382643,-89.99313585,red,Hydrant
31464937,Hydrant,Hydrant,34.80906643,-89.99018585,red,Hydrant
31464938,Hydrant,Hydrant,34.80884643,-89.99134585,red,Hydrant
31464939,Hydrant,Hydrant,34.81525643,-89.99667585,red,Hydrant
31464940,Hydrant,Hydrant,34.81555643,-89.99956585,red,Hydrant
31464941,Hydrant,Hydrant,34.81071643,-89.99933585,red,Hydrant
31464942,Hydrant,Hydrant,34.81173643,-89.99867585,red,Hydrant
31464943,Hydrant,Hydrant,34.80961643,-89.99974585,red,Hydrant
31464944,Hydrant,Hydrant,34.81033643,-90.00118585,red,Hydrant
31464945,Hydrant,Hydrant,34.81091643,-90.00206585,red,Hydrant
31464946,Hydrant,Hydrant,34.80957643,-90.00164585,red,Hydrant
31464947,Hydrant,Hydrant,34.80995643,-90.00250585,red,Hydrant
31464948,Hydrant,Hydrant,34.80922643,-90.00332585,red,Hydrant
31464949,Hydrant,Hydrant,34.81710643,-90.00042585,red,Hydrant
31464950,Hydrant,Hydrant,34.81839643,-90.00045585,red,Hydrant
31464951,Hydrant,Hydrant,34.81835643,-90.00185585,red,Hydrant
31464952,Hydrant,Hydrant,34.81824643,-90.00276585,red,Hydrant
31464953,Hydrant,Hydrant,34.81827643,-90.00438585,red,Hydrant
31464954,Hydrant,Hydrant,34.81823643,-90.00590585,red,Hydrant
31464955,Hydrant,Hydrant,34.81815643,-90.00733585,red,Hydrant
31464956,Hydrant,Hydrant,34.81844643,-89.99822585,red,Hydrant
31464957,Hydrant,Hydrant,34.81838643,-89.99580585,red,Hydrant
31464958,Hydrant,Hydrant,34.81846643,-89.99424585,red,Hydrant
31464959,Hydrant,Hydrant,34.81983643,-89.99475585,red,Hydrant
31464960,Hydrant,Hydrant,34.82092643,-89.99528585,red,Hydrant
31464961,Hydrant,Hydrant,34.81952643,-89.99539585,red,Hydrant
31464962,Hydrant,Hydrant,34.82010643,-89.99816585,red,Hydrant
31464963,Hydrant,Hydrant,34.82016643,-89.99746585,red,Hydrant
31464964,Hydrant,Hydrant,34.82015643,-89.99677585,red,Hydrant
31464965,Hydrant,Hydrant,34.82090643,-89.99677585,red,Hydrant
31464966,Hydrant,Hydrant,34.82166643,-89.99826585,red,Hydrant
31464967,Hydrant,Hydrant,34.82164643,-89.99921585,red,Hydrant
31464968,Hydrant,Hydrant,34.82156643,-90.00019585,red,Hydrant
31464969,Hydrant,Hydrant,34.82152643,-90.00042585,red,Hydrant
31464970,Hydrant,Hydrant,34.82174643,-90.00301585,red,Hydrant
31464971,Hydrant,Hydrant,34.82035643,-90.00026585,red,Hydrant
31464972,Hydrant,Hydrant,34.81915643,-89.99954585,red,Hydrant
31464973,Hydrant,Hydrant,34.81962643,-89.99967585,red,Hydrant
31464974,Hydrant,Hydrant,34.82249643,-89.99812585,red,Hydrant
31464975,Hydrant,Hydrant,34.82238643,-89.99741585,red,Hydrant
31464976,Hydrant,Hydrant,34.82246643,-89.99650585,red,Hydrant
31464977,Hydrant,Hydrant,34.82246643,-89.99531585,red,Hydrant
31464978,Hydrant,Hydrant,34.82166643,-89.99468585,red,Hydrant
31464979,Hydrant,Hydrant,34.82167643,-89.99551585,red,Hydrant
31464980,Hydrant,Hydrant,34.82344643,-89.99804585,red,Hydrant
31464981,Hydrant,Hydrant,34.84549644,-89.97322585,red,Hydrant
31464982,Hydrant,Hydrant,34.84215643,-89.97370585,red,Hydrant
31464983,Hydrant,Hydrant,34.84111643,-89.97462585,red,Hydrant
31464984,Hydrant,Hydrant,34.84305643,-89.97432585,red,Hydrant
31464985,Hydrant,Hydrant,34.83843643,-89.97227584,red,Hydrant
31464986,Hydrant,Hydrant,34.83151643,-89.97656585,red,Hydrant
31464987,Hydrant,Hydrant,34.83246643,-89.97660585,red,Hydrant
31464988,Hydrant,Hydrant,34.83316643,-89.97728585,red,Hydrant
31464989,Hydrant,Hydrant,34.83307374,-89.97819582,red,Hydrant
31464990,Hydrant,Hydrant,34.83226643,-89.97870585,red,Hydrant
31464991,Hydrant,Hydrant,34.83198643,-89.97725585,red,Hydrant
31464992,Hydrant,Hydrant,34.83069643,-89.97815585,red,Hydrant
31464993,Hydrant,Hydrant,34.82925643,-89.97455584,red,Hydrant
31464994,Hydrant,Hydrant,34.82970643,-89.97558585,red,Hydrant
31464995,Hydrant,Hydrant,34.83048643,-89.97545585,red,Hydrant
31464996,Hydrant,Hydrant,34.83050643,-89.97413585,red,Hydrant
31464997,Hydrant,Hydrant,34.83361643,-89.97231585,red,Hydrant
31464998,Hydrant,Hydrant,34.82747643,-89.97196584,red,Hydrant
31464999,Hydrant,Hydrant,34.82635643,-89.97193584,red,Hydrant
31465000,Hydrant,Hydrant,34.82373643,-89.97007584,red,Hydrant
31465001,Hydrant,Hydrant,34.82374643,-89.96840584,red,Hydrant
31465002,Hydrant,Hydrant,34.82481643,-89.98040585,red,Hydrant
31465003,Hydrant,Hydrant,34.82490643,-89.98056585,red,Hydrant
31465004,Hydrant,Hydrant,34.82531643,-89.97801585,red,Hydrant
31465005,Hydrant,Hydrant,34.82622643,-89.98038585,red,Hydrant
31465006,Hydrant,Hydrant,34.83112643,-89.98194585,red,Hydrant
31465007,Hydrant,Hydrant,34.83024643,-89.98095585,red,Hydrant
31465008,Hydrant,Hydrant,34.82941643,-89.98168585,red,Hydrant
31465009,Hydrant,Hydrant,34.83109643,-89.98316585,red,Hydrant
31465010,Hydrant,Hydrant,34.82365643,-89.99405585,red,Hydrant
31465011,Hydrant,Hydrant,34.82362643,-89.99294585,red,Hydrant
31465012,Hydrant,Hydrant,34.82363643,-89.99109585,red,Hydrant
31465013,Hydrant,Hydrant,34.82369643,-89.98911585,red,Hydrant
31465014,Hydrant,Hydrant,34.82354643,-89.98882585,red,Hydrant
31465015,Hydrant,Hydrant,34.82365643,-89.98678585,red,Hydrant
31465016,Hydrant,Hydrant,34.82369643,-89.98529585,red,Hydrant
31465017,Hydrant,Hydrant,34.82396643,-89.98411585,red,Hydrant
31465018,Hydrant,Hydrant,34.82357643,-89.98325585,red,Hydrant
31465019,Hydrant,Hydrant,34.82211643,-89.98087585,red,Hydrant
31465020,Hydrant,Hydrant,34.82074643,-89.98052585,red,Hydrant
31465021,Hydrant,Hydrant,34.82372643,-89.98085585,red,Hydrant
31465022,Hydrant,Hydrant,34.82317643,-89.98052585,red,Hydrant
31465023,Hydrant,Hydrant,34.82275643,-89.97999585,red,Hydrant
31465024,Hydrant,Hydrant,34.82372643,-89.97353584,red,Hydrant
31465025,Hydrant,Hydrant,34.82455643,-89.97235584,red,Hydrant
31465026,Hydrant,Hydrant,34.82393643,-89.97277584,red,Hydrant
31465027,Hydrant,Hydrant,34.82395643,-89.97411584,red,Hydrant
31465028,Hydrant,Hydrant,34.82580643,-89.98514585,red,Hydrant
31465029,Hydrant,Hydrant,34.83061643,-89.98537585,red,Hydrant
31465030,Hydrant,Hydrant,34.83286643,-89.98414585,red,Hydrant
31465031,Hydrant,Hydrant,34.83305643,-89.98524585,red,Hydrant
31465032,Hydrant,Hydrant,34.82791643,-89.98548585,red,Hydrant
31465033,Hydrant,Hydrant,34.82788643,-89.98893585,red,Hydrant
31465034,Hydrant,Hydrant,34.82772643,-89.99131585,red,Hydrant
31465035,Hydrant,Hydrant,34.82773643,-89.99438585,red,Hydrant
31465036,Hydrant,Hydrant,34.82692643,-89.99118585,red,Hydrant
31465037,Hydrant,Hydrant,34.82522643,-89.99109585,red,Hydrant
31465038,Hydrant,Hydrant,34.82655643,-89.99300585,red,Hydrant
31465039,Hydrant,Hydrant,34.82525643,-89.99349585,red,Hydrant
31465040,Hydrant,Hydrant,34.82523999,-89.98818005,red,Hydrant
31465041,Hydrant,Hydrant,34.81229643,-89.99120585,red,Hydrant
31465042,Hydrant,Hydrant,34.81284643,-89.99037585,red,Hydrant
31465043,Hydrant,Hydrant,34.81341643,-89.99046585,red,Hydrant
31465044,Hydrant,Hydrant,34.81312643,-89.99117585,red,Hydrant
31465045,Hydrant,Hydrant,34.81345643,-89.98951585,red,Hydrant
31465046,Hydrant,Hydrant,34.81519643,-89.98930585,red,Hydrant
31465047,Hydrant,Hydrant,34.81664643,-89.98964585,red,Hydrant
31465048,Hydrant,Hydrant,34.81612643,-89.99312585,red,Hydrant
31465049,Hydrant,Hydrant,34.82026643,-89.99203585,red,Hydrant
31465050,Hydrant,Hydrant,34.82100643,-89.98966585,red,Hydrant
31465051,Hydrant,Hydrant,34.81912643,-89.98950585,red,Hydrant
31465052,Hydrant,Hydrant,34.81979643,-89.98469585,red,Hydrant
31465053,Hydrant,Hydrant,34.81540643,-89.97349584,red,Hydrant
